3989651,Y
3909522,N
3931462,N
3866891,?
3864542,N
3840941,N
3820942,N
3538112,N
3725062,Y
3694812,?
3660811,?
3624932,N
3624282,N
3615902,N
3567731,N
3623071,N
4060521,N
3486182,N
3465532,?
3494152,N
3494141,N
3429771,N
3436162,N
3442911,Y
3472121,N
3643591,N
3782272,N
3761362,N
3420932,?
4133982,Y
3374671,?
3336972,?
3418841,?
3314471,N
3272151,?
3746181,N
3286931,?
3258361,N
3277771,Y
3924561,N
3093891,?
3074622,Y
3070842,N
3038181,N
3021011,N
3079071,N
3268021,?
2947482,Y
2938092,N
2885001,N
2901842,?
3603002,Y
2922471,Y
2950672,Y
3465532,N
2825761,Y
3097102,N
2782452,N
2816021,?
2773711,?
2725941,Y
2756982,N
2711022,N
2667352,Y
2676581,?
2518081,N
2291402,N
2401332,N
1702562,N
2412072,N
2169292,N
2882301,N
3253522,N
4101831,?
3141672,N
3485121,?
3224482,?
3160372,?
3875952,N
3640961,Y
2955621,Y
4092861,N
4158351,?
4384751,N
3355962,N
3289391,Y
2905101,N
2483982,N
3042612,N
3397412,?
2657531,N
4210192,N
4350331,N
4253401,Y
3259992,N
4203832,?
4132091,N
4364782,N
4218812,Y
3769281,N
3691232,?
3689841,N
3630112,N
3540081,N
3469622,?
3358292,N
3171412,N
3162591,?
2978091,Y
2820552,?
2793512,?
3404884,Y
3277354,Y
3890784,?
3277773,?
3479604,?
3825743,?
2834543,Y
2963383,N
3517193,Y
2735263,Y
2661863,Y
1459033,?
2542903,?
4255034,Y
4153654,?
3634024,? 
3601063,Y
3088664,?
4009234,N
3879623,N
4132694,N
3820944,N
3835174,N
3776873,N
3743963,N
3689983,N
3640864,N
3591653,N
3808244,N
3613183,N
3577974,N
4204483,N
4060523,N
3659183,N
3478943,N
3435163,N
3366413,N
3513784,N
3375974,N
3317564,N
3316894,N
3346213,N
3296253,N
3195944,N
3266174,N
3164774,N
3092794,N
3070553,N
3050523,N
2998774,N
2921274,N
2796463,N
3116593,N
2951283,N
2742444,N
2682933,N
2360323,N
2448604,N
3819743,N
3546934,N
3544604,N
4421793,N
4176463,N
4311683,N
3235624,N
4271613,N
3971203,N
3565264,N
3497273,N
3742163,N
4408443,N
2967544,N
4188273,N
3397414,N
4157524,N
3958334,N
4238974,N
4376684,N
4338234,N
3888403,N
3813684,N
3561454,N
3557233,N
3532163,N
3429473,N
3414524,N
3397934,N
2718613,N
3645873,N
3610544,N
3434785,Y
3412346,N
3416505,N
3985406,Y
3433886,Y
3858665,Y
3513796,N
3959865,?
3229836,N
3286295,N
3777806,?
3661126,N
3727645,N
3257575,N
3175255,?
3181225,N
3148325,N
3121346,N
3303496,N
3084065,?
3059535,N
3033665,N
3013456,Y
2927715,N
2939206,N
2924655,N
2914105,N
3149825,?
2892005,N
3068535,N
2852516,N
2818885,?
2816026,Y
2783305,Y
2776985,N
2773716,N
3129615,?
2918376,?
2710625,Y
2693456,N
2677075,N
2630546,N
2659375,N
2730496,N
2698316,N
2791456,Y
2694555,N
2703005,Y
1904105,N
3410585,N
4423625,N
4070576,N
4198276,?
2756345,N
3734146,N
3464935,N
3995055,N
4034415,N
3589665,N
4263075,N
2705515,N
3261716,N
3025096,N
3990476,N
3945295,N
4063776,Y
3983226,Y
3962345,Y
3913595,Y
3873256,N
3859635,N
3669286,?
3283716,N
2994726,Y
3141626,N
3127965,N
2954126,N
4068075,N
4238866,N
3910576,N
4373616,N
3841736,N
3769326,N
3743096,N
3494206,N
4396816,N
3857425,N
4318205,N
3858445,N
3767925,N
3660436,N
3518126,?
3481275,N
3905876,N
3845176,N
3834806,N
3647006,N
3567755,N
4107456,N
3833216,N
3675596,N
3647006,N
